num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant
ID_169209;1;6;97.041666667;R3;F3;M2
ID_169597;1;6;31.92;R3;F3;M1
ID_169654;10;1;49;R1;F1;M1
ID_169681;11;1;59.99;R1;F1;M2
ID_169745;6;1;14.29;R2;F1;M1
ID_169989;9;1;22.99;R1;F1;M1
ID_170019;5;1;350;R2;F1;M3
ID_170109;5;3;74.5;R2;F2;M2
ID_170632;1;1;16.49;R3;F1;M1
ID_170647;6;1;393;R2;F1;M3
ID_170709;9;1;13.49;R1;F1;M1
ID_170796;1;7;56.595714286;R3;F3;M2
ID_171055;3;6;147.27666667;R2;F3;M3
ID_171488;7;1;56.9;R1;F1;M2
ID_171692;5;1;36.5;R2;F1;M1
ID_171730;1;4;24.0175;R3;F3;M1
ID_172050;1;3;19.14;R3;F2;M1
ID_172220;1;3;107.82333333;R3;F2;M3
ID_172235;2;1;59.99;R3;F1;M2
ID_172464;6;2;20.045;R2;F2;M1
ID_172612;2;4;45.445;R3;F3;M1
ID_172993;4;1;38.3;R2;F1;M1
ID_173221;1;5;245.172;R3;F3;M3
ID_173262;2;3;75.566666667;R3;F2;M2
ID_173495;11;1;50.49;R1;F1;M2
ID_173574;2;4;38.8725;R3;F3;M1
ID_173643;6;1;30.2;R2;F1;M1
ID_174073;3;2;63.965;R2;F2;M2
ID_174349;2;1;39.5;R3;F1;M1
ID_174444;12;2;15.97;R1;F2;M1
ID_174470;1;1;31.49;R3;F1;M1
ID_174479;1;3;96.1;R3;F2;M2
ID_174514;1;4;66.3675;R3;F3;M2
ID_174626;7;1;34;R1;F1;M1
ID_174724;12;1;92.99;R1;F1;M2
ID_174736;1;6;57.723333333;R3;F3;M2
ID_174745;7;1;31.99;R1;F1;M1
ID_174798;1;5;39.582;R3;F3;M1
ID_174847;1;5;538.894;R3;F3;M3
ID_175152;3;2;419.495;R2;F2;M3
ID_175205;2;2;41.745;R3;F2;M1
ID_175452;11;1;21.94;R1;F1;M1
ID_175680;2;5;98.88;R3;F3;M2
ID_175912;5;1;237.7;R2;F1;M3
ID_175944;5;2;394.445;R2;F2;M3
ID_175993;4;1;32.49;R2;F1;M1
ID_176404;1;7;53.254285714;R3;F3;M2
ID_176442;4;6;151.36833333;R2;F3;M3
ID_176495;1;6;82.225;R3;F3;M2
ID_176573;5;2;14.24;R2;F2;M1
ID_176759;5;1;83.3;R2;F1;M2
ID_176889;2;5;55.99;R3;F3;M2
ID_1769;2;2;104.85;R3;F2;M3
ID_176903;3;6;233.575;R2;F3;M3
ID_176959;2;5;80.898;R3;F3;M2
ID_177126;9;1;148.5;R1;F1;M3
ID_177127;9;3;46.2;R1;F2;M1
ID_177166;3;7;102.44285714;R2;F3;M3
ID_177427;1;3;102.25666667;R3;F2;M3
ID_177505;2;3;40.495;R3;F2;M1
ID_177894;1;2;122.215;R3;F2;M3
ID_177905;4;1;39.49;R2;F1;M1
ID_177935;1;6;83.126666667;R3;F3;M2
ID_178132;1;4;90.0475;R3;F3;M2
ID_178312;10;1;42.99;R1;F1;M1
ID_178366;3;4;124.0975;R2;F3;M3
ID_178485;4;1;94;R2;F1;M2
ID_178795;2;7;460.11285714;R3;F3;M3
ID_178821;10;1;19.99;R1;F1;M1
ID_178834;1;2;189;R3;F2;M3
ID_178880;4;2;32.34;R2;F2;M1
ID_179137;1;6;32.91;R3;F3;M1
ID_179240;10;2;108.49;R1;F2;M3
ID_179299;11;1;98.5;R1;F1;M2
ID_179447;3;3;165.23;R2;F2;M3
ID_179691;2;2;17.245;R3;F2;M1
ID_180040;4;5;131.324;R2;F3;M3
ID_180079;2;2;29.85;R3;F2;M1
ID_180255;6;2;69.995;R2;F2;M2
ID_180281;3;10;109.337;R2;F3;M3
ID_180292;9;1;168.49;R1;F1;M3
ID_180295;6;1;70.49;R2;F1;M2
ID_180357;9;1;23.99;R1;F1;M1
ID_180725;5;2;151;R2;F2;M3
ID_180832;1;2;67.745;R3;F2;M2
ID_180903;3;4;238.62;R2;F3;M3
ID_180964;2;2;205.5;R3;F2;M3
ID_181061;11;1;62.99;R1;F1;M2
ID_181158;1;4;180.2975;R3;F3;M3
ID_181175;5;7;87.018571429;R2;F3;M2
ID_18127;5;2;1043.045;R2;F2;M3
ID_181384;3;1;41.99;R2;F1;M1
ID_181512;9;1;63;R1;F1;M2
ID_181541;6;2;108.99;R2;F2;M3
ID_18170;1;3;233.49;R3;F2;M3
ID_181702;2;3;46.326666667;R3;F2;M1
ID_181773;2;6;226.58;R3;F3;M3
ID_181863;1;12;201.29818182;R3;F3;M3
ID_181877;2;2;73.49;R3;F2;M2
ID_181885;9;1;62.8;R1;F1;M2
ID_181950;1;1;118.6;R3;F1;M3
ID_182297;9;5;127.574;R1;F3;M3
ID_182311;11;1;60.5;R1;F1;M2
ID_182494;1;2;62.395;R3;F2;M2
ID_182508;2;1;208.49;R3;F1;M3
ID_182719;1;4;160.495;R3;F3;M3
ID_182763;1;7;116.97571429;R3;F3;M3
ID_182939;6;2;41;R2;F2;M1
ID_183095;5;1;142.2;R2;F1;M3
ID_183271;3;7;171.56571429;R2;F3;M3
ID_183412;1;2;30.99;R3;F2;M1
ID_183699;7;2;39;R1;F2;M1
ID_183719;1;6;48.091666667;R3;F3;M1
ID_183787;1;3;49.396666667;R3;F2;M1
ID_183933;2;3;58.46;R3;F2;M2
ID_184071;3;7;52.858333333;R2;F3;M2
ID_184160;2;5;42.842;R3;F3;M1
ID_184185;2;2;294.24;R3;F2;M3
ID_184257;1;5;60.29;R3;F3;M2
ID_184471;5;1;141.99;R2;F1;M3
ID_184532;7;3;100.87666667;R1;F2;M3
ID_184565;2;4;247.1425;R3;F3;M3
ID_184648;1;7;248.91;R3;F3;M3
ID_184824;5;6;201.04833333;R2;F3;M3
ID_184890;1;7;148.73714286;R3;F3;M3
ID_184998;5;1;32.99;R2;F1;M1
ID_185180;1;4;194.795;R3;F3;M3
ID_185379;11;1;91.2;R1;F1;M2
ID_185589;1;4;47.24;R3;F3;M1
ID_185636;2;3;71.663333333;R3;F2;M2
ID_185816;3;3;29.493333333;R2;F2;M1
ID_185844;4;7;98.735714286;R2;F3;M2
ID_185874;6;1;194.99;R2;F1;M3
ID_185922;4;6;42.531666667;R2;F3;M1
ID_185933;6;1;39.2;R2;F1;M1
ID_186056;1;6;59.148333333;R3;F3;M2
ID_186262;3;2;20.99;R2;F2;M1
ID_186513;5;1;33.7;R2;F1;M1
ID_186716;5;2;30.99;R2;F2;M1
ID_186721;1;2;92.99;R3;F2;M2
ID_186979;2;10;82.932;R3;F3;M2
ID_18698;9;1;50;R1;F1;M2
ID_186992;6;2;61.94;R2;F2;M2
ID_187146;1;2;21.64;R3;F2;M1
ID_187282;11;1;778;R1;F1;M3
ID_187499;1;13;59.036153846;R3;F3;M2
ID_187874;3;3;255.83333333;R2;F2;M3
ID_188007;2;1;32.8;R3;F1;M1
ID_188160;4;7;182.87857143;R2;F3;M3
